.doc = Documents / Text | Documents / Texte
.docx = Documents / Text | Documents / Texte
.rtf = Documents / Text | Documents / Texte
.odt = Documents / Text | Documents / Texte
.pages = Documents / Text | Documents / Texte
.txt = Documents / Text | Documents / Texte
.wpd = Documents / Text | Documents / Texte
.wp = Documents / Text | Documents / Texte
.xls = Spreadsheets | Feuilles de calcul
.xlsx = Spreadsheets | Feuilles de calcul
.csv = Spreadsheets | Feuilles de calcul
.ods = Spreadsheets | Feuilles de calcul
.ppt = Presentations | Présentations
.pptx = Presentations | Présentations
.key = Presentations | Présentations
.odp = Presentations | Présentations
.jpg = Images (Raster) | Images (raster)
.jpeg = Images (Raster) | Images (raster)
.png = Images (Raster) | Images (raster)
.gif = Images (Raster) | Images (raster)
.bmp = Images (Raster) | Images (raster)
.tif = Images (Raster) | Images (raster)
.tiff = Images (Raster) | Images (raster)
.svg = Images (Vector / Design) | Images (vectorielles / design)
.eps = Images (Vector / Design) | Images (vectorielles / design)
.ai = Images (Vector / Design) | Images (vectorielles / design)
.zip = Archives / Compressed | Archives / Fichiers compressés
.rar = Archives / Compressed | Archives / Fichiers compressés
.7z = Archives / Compressed | Archives / Fichiers compressés
.tar = Archives / Compressed | Archives / Fichiers compressés
.gz = Archives / Compressed | Archives / Fichiers compressés
.mp3 = Audio / Video | Audio / Vidéo
.wav = Audio / Video | Audio / Vidéo
.mp4 = Audio / Video | Audio / Vidéo
.avi = Audio / Video | Audio / Vidéo
.mov = Audio / Video | Audio / Vidéo
.wmv = Audio / Video | Audio / Vidéo
.mkv = Audio / Video | Audio / Vidéo
.html = Web / Data | Web / Données
.htm = Web / Data | Web / Données
.xml = Web / Data | Web / Données
.json = Web / Data | Web / Données
.css = Web / Data | Web / Données
.js = Web / Data | Web / Données
.pdf = Portable / Fixed Layout | Portable / Mise en page fixe
.xps = Portable / Fixed Layout | Portable / Mise en page fixe
.msg = Communication | Communication
.eml = Communication | Communication
.pst = Communication | Communication
.ost = Communication | Communication
.ics = Communication | Communication
.vcf = Communication | Communication
.dwg = Diagrams & CAD | Schémas & CAO
.dxf = Diagrams & CAD | Schémas & CAO
.vsdx = Diagrams & CAD | Schémas & CAO
.accdb = Database | Base de données
.mdb = Database | Base de données
.sql = Database | Base de données
.sqlite = Database | Base de données
.db = Database | Base de données
.pub = Publishing | Édition
.indd = Publishing | Édition
.md = Developer / System | Développement / Système
.log = Developer / System | Développement / Système
.bat = Developer / System | Développement / Système
.sh = Developer / System | Développement / Système
.py = Developer / System | Développement / Système
